date,currentcases,notreported,reported,incidences,hospital
2020-04-16,0.0,true,false,11.51945,1
2020-04-17,0.0,true,false,11.03985,1
2020-04-18,0.0,true,false,10.55085,1
2020-04-19,0.0,true,false,10.0588,1
2020-04-20,0.0,true,false,9.5685,1
2020-04-21,0.0,true,false,9.0838,1
2020-04-22,0.0,true,false,8.60755,1
2020-04-23,0.0,true,false,8.1421,1
2020-04-24,0.0,true,false,7.68965,1
2020-04-25,0.0,true,false,7.2522,1
2020-04-26,0.0,true,false,6.8315,1
2020-04-27,0.0,true,false,6.4288,1
2020-04-28,0.0,true,false,6.0453,1
2020-04-29,0.0,true,false,5.6818,1
2020-04-30,0.0,true,false,5.33885,1
2020-05-01,0.0,true,false,5.01675,1
2020-05-02,0.0,true,false,4.71565,1
2020-05-03,0.0,true,false,4.4355,1
2020-05-04,0.0,true,false,4.176,1
2020-05-05,0.0,true,false,3.93685,1
2020-05-06,0.0,true,false,3.7175,1
2020-05-07,0.0,true,false,3.51755,1
2020-05-08,0.0,true,false,3.3358,1
2020-05-09,0.0,true,false,3.17135,1
2020-05-10,0.0,true,false,3.0229,1
2020-05-11,0.0,true,false,2.88915,1
2020-05-12,0.0,false,true,2.769,1
2020-05-13,0.0,false,true,2.6611,1
2020-05-14,0.0,false,true,2.5643,1
2020-05-15,0.0,false,true,2.47745,1
2020-05-16,0.0,false,true,2.39935,1
2020-05-17,0.0,false,true,2.32895,1
2020-05-18,0.0,false,true,2.26515,1
2020-05-19,0.0,false,true,2.20685,1
2020-05-20,0.0,false,true,2.15295,1
2020-05-21,0.0,false,true,2.10245,1
2020-05-22,0.0,false,true,2.0545,1
2020-05-23,0.0,false,true,2.0083,1
2020-05-24,0.0,false,true,1.9634,1
2020-05-25,0.0,false,true,1.91955,1
2020-05-26,0.0,false,true,1.87645,1
2020-05-27,0.0,false,true,1.83415,1
2020-05-28,0.0,false,true,1.79265,1
2020-05-29,0.0,false,true,1.7521,1
2020-05-30,0.0,false,true,1.7127,1
2020-05-31,0.0,false,true,1.67495,1
2020-06-01,0.0,false,true,1.639,1
2020-06-02,0.0,false,true,1.6053,1
2020-06-03,0.0,false,true,1.57425,1
2020-06-04,0.0,false,true,1.54625,1
2020-06-05,0.0,false,true,1.5216,1
2020-06-06,0.0,false,true,1.5007,1
2020-06-07,0.0,false,true,1.4835,1
2020-06-08,0.0,false,true,1.47025,1
2020-06-09,0.0,false,true,1.46095,1
2020-06-10,0.0,false,true,1.45555,1
2020-06-11,0.0,false,true,1.45415,1
2020-06-12,0.0,false,true,1.45675,1
2020-06-13,0.0,false,true,1.46335,1
2020-06-14,0.0,false,true,1.47395,1
2020-06-15,0.0,false,true,1.4885,1
2020-06-16,0.0,false,true,1.50715,1
2020-06-17,0.0,false,true,1.5299,1
2020-06-18,0.0,false,true,1.5568,1
2020-06-19,0.0,false,true,1.58805,1
2020-06-20,0.0,false,true,1.62365,1
2020-06-21,0.0,false,true,1.66385,1
2020-06-22,0.0,false,true,1.7089,1
2020-06-23,0.0,false,true,1.75905,1
2020-06-24,0.0,false,true,1.8146,1
2020-04-16,0.0,false,true,1.96915,2
2020-04-17,0.0,false,true,1.85795,2
2020-04-18,0.0,false,true,1.7508,2
2020-04-19,0.0,false,true,1.64825,2
2020-04-20,0.0,false,true,1.55065,2
2020-04-21,0.0,false,true,1.458,2
2020-04-22,0.0,false,true,1.3702,2
2020-04-23,0.0,false,true,1.2871,2
2020-04-24,0.0,false,true,1.2085,2
2020-04-25,0.0,false,true,1.13435,2
2020-04-26,0.0,false,true,1.06445,2
2020-04-27,0.0,false,true,0.99865,2
2020-04-28,0.0,false,true,0.93695,2
2020-04-29,0.0,false,true,0.8791,2
2020-04-30,0.0,false,true,0.82505,2
2020-05-01,0.0,false,true,0.77475,2
2020-05-02,0.0,false,true,0.72795,2
2020-05-03,0.0,false,true,0.68475,2
2020-05-04,0.0,false,true,0.645,2
2020-05-05,0.0,false,true,0.6085,2
2020-05-06,0.0,false,true,0.5752,2
2020-05-07,0.0,false,true,0.54505,2
2020-05-08,0.0,false,true,0.5178,2
2020-05-09,0.0,false,true,0.4933,2
2020-05-10,0.0,false,true,0.47135,2
2020-05-11,0.0,false,true,0.4517,2
2020-05-12,0.0,false,true,0.43415,2
2020-05-13,1.0,false,true,0.41855,2
2020-05-14,1.0,false,true,0.4046,2
2020-05-15,1.0,false,true,0.3921,2
2020-05-16,1.0,false,true,0.38095,2
2020-05-17,1.0,false,true,0.37085,2
2020-05-18,1.0,false,true,0.36165,2
2020-05-19,1.0,false,true,0.3532,2
2020-05-20,1.0,false,true,0.34515,2
2020-05-21,1.0,false,true,0.3374,2
2020-05-22,1.0,false,true,0.3298,2
2020-05-23,1.0,false,true,0.3221,2
2020-05-24,1.0,false,true,0.31435,2
2020-05-25,1.0,false,true,0.3064,2
2020-05-26,1.0,false,true,0.2982,2
2020-05-27,1.0,false,true,0.28975,2
2020-05-28,1.0,false,true,0.28115,2
2020-05-29,1.0,false,true,0.2724,2
2020-05-30,1.0,false,true,0.2636,2
2020-05-31,1.0,false,true,0.2548,2
2020-06-01,1.0,false,true,0.2461,2
2020-06-02,1.0,false,true,0.2376,2
2020-06-03,1.0,false,true,0.22945,2
2020-06-04,1.0,false,true,0.22165,2
2020-06-05,1.0,false,true,0.2144,2
2020-06-06,1.0,false,true,0.20785,2
2020-06-07,1.0,false,true,0.20185,2
2020-06-08,1.0,false,true,0.1966,2
2020-06-09,2.0,false,true,0.19205,2
2020-06-10,2.0,false,true,0.1882,2
2020-06-11,2.0,false,true,0.18515,2
2020-06-12,1.0,false,true,0.18285,2
2020-06-13,1.0,false,true,0.18135,2
2020-06-14,1.0,false,true,0.18065,2
2020-06-15,1.0,false,true,0.18075,2
2020-06-16,1.0,false,true,0.1817,2
2020-06-17,1.0,false,true,0.18355,2
2020-06-18,1.0,false,true,0.1863,2
2020-06-19,1.0,false,true,0.18995,2
2020-06-20,1.0,false,true,0.19465,2
2020-06-21,1.0,false,true,0.20035,2
2020-06-22,1.0,false,true,0.20725,2
2020-06-23,1.0,false,true,0.2154,2
2020-06-24,1.0,false,true,0.22495,2
2020-04-16,2.0,false,true,6.11995,3
2020-04-17,2.0,true,false,5.84895,3
2020-04-18,0.0,false,true,5.57195,3
2020-04-19,0.0,false,true,5.2932,3
2020-04-20,0.0,false,true,5.01595,3
2020-04-21,0.0,false,true,4.7428,3
2020-04-22,0.0,false,true,4.4756,3
2020-04-23,0.0,false,true,4.2159,3
2020-04-24,0.0,false,true,3.96505,3
2020-04-25,0.0,false,true,3.724,3
2020-04-26,0.0,false,true,3.4936,3
2020-04-27,0.0,false,true,3.27445,3
2020-04-28,0.0,false,true,3.067,3
2020-04-29,0.0,false,true,2.87145,3
2020-04-30,0.0,false,true,2.6879,3
2020-05-01,0.0,false,true,2.5163,3
2020-05-02,0.0,false,true,2.3567,3
2020-05-03,0.0,false,true,2.20875,3
2020-05-04,0.0,false,true,2.0723,3
2020-05-05,0.0,false,true,1.94695,3
2020-05-06,0.0,false,true,1.83245,3
2020-05-07,0.0,false,true,1.7284,3
2020-05-08,0.0,false,true,1.6342,3
2020-05-09,0.0,false,true,1.54925,3
2020-05-10,0.0,false,true,1.4729,3
2020-05-11,0.0,false,true,1.4044,3
2020-05-12,0.0,false,true,1.34315,3
2020-05-13,0.0,false,true,1.2885,3
2020-05-14,0.0,false,true,1.2397,3
2020-05-15,0.0,false,true,1.19615,3
2020-05-16,0.0,false,true,1.15725,3
2020-05-17,0.0,false,true,1.1225,3
2020-05-18,0.0,false,true,1.09115,3
2020-05-19,0.0,false,true,1.06265,3
2020-05-20,0.0,false,true,1.0364,3
2020-05-21,0.0,false,true,1.01195,3
2020-05-22,0.0,false,true,0.9886,3
2020-05-23,0.0,false,true,0.966,3
