cellline,concentration,viability
CAOV3,-1.4685210829577449,0.364
CAOV3,-1.0,0.378
CAOV3,-0.5228787452803376,0.078
CAOV3,-3.853871964321762,1.057
CAOV3,-3.3979400086720375,0.924
CAOV3,-2.9208187539523753,0.969
CAOV3,-2.431798275933005,1.003
CAOV3,-1.958607314841775,0.867
CAOV3,-1.4685210829577449,0.363
CAOV3,-1.0,0.081
CAOV3,-0.5228787452803376,0.032
CAOV3,-3.853871964321762,1.098
CAOV3,-3.3979400086720375,0.813
CAOV3,-2.9208187539523753,0.985
CAOV3,-2.431798275933005,0.931
CAOV3,-1.958607314841775,0.792
CAOV3,-1.4685210829577449,0.271
CAOV3,-1.0,0.099
CAOV3,-0.5228787452803376,0.108
CAOV3,-3.853871964321762,1.08
CAOV3,-3.3979400086720375,1.167
CAOV3,-2.9208187539523753,1.118
CAOV3,-2.431798275933005,1.07
CAOV3,-1.958607314841775,0.891
CAOV3,-1.4685210829577449,0.233
CAOV3,-1.0,0.064
CAOV3,-0.5228787452803376,0.048
CAOV3,-3.853871964321762,0.927
CAOV3,-3.3979400086720375,0.89
CAOV3,-2.9208187539523753,0.734
CAOV3,-2.431798275933005,0.715
CAOV3,-1.958607314841775,0.534
CAOV3,-1.4685210829577449,0.335
CAOV3,-1.0,0.075
CAOV3,-0.5228787452803376,0.041
CAOV3,-3.853871964321762,0.998
CAOV3,-3.3979400086720375,1.005
CAOV3,-2.9208187539523753,1.051
CAOV3,-2.431798275933005,0.9
CAOV3,-1.958607314841775,0.951
CAOV3,-1.4685210829577449,0.31
CAOV3,-1.0,0.118
CAOV3,-0.5228787452803376,0.04
CAOV3,-3.853871964321762,1.11
CAOV3,-3.3979400086720375,1.092
CAOV3,-2.9208187539523753,1.012
CAOV3,-2.431798275933005,1.146
CAOV3,-1.958607314841775,0.833
CAOV3,-1.4685210829577449,0.386
CAOV3,-1.0,0.13
CAOV3,-0.5228787452803376,0.029
CAOV3,-3.853871964321762,0.988
CAOV3,-3.3979400086720375,1.158
CAOV3,-2.9208187539523753,0.807
CAOV3,-2.431798275933005,0.992
CAOV3,-1.958607314841775,0.779
CAOV3,-1.4685210829577449,0.346
CAOV3,-1.0,0.102
CAOV3,-0.5228787452803376,0.085
COLO320DM,-3.853871964321762,0.98
COLO320DM,-3.3979400086720375,1.119
COLO320DM,-2.9208187539523753,1.026
COLO320DM,-2.431798275933005,0.903
COLO320DM,-1.958607314841775,0.925
COLO320DM,-1.4685210829577449,0.928
COLO320DM,-1.0,0.969
COLO320DM,-0.5228787452803376,0.174
COLO320DM,-3.853871964321762,0.987
COLO320DM,-3.3979400086720375,0.928
COLO320DM,-2.9208187539523753,0.922
COLO320DM,-2.431798275933005,0.778
COLO320DM,-1.958607314841775,0.955
COLO320DM,-1.4685210829577449,0.813
COLO320DM,-1.0,0.896
COLO320DM,-0.5228787452803376,0.173
COLO320DM,-3.853871964321762,1.107
COLO320DM,-3.3979400086720375,1.039
COLO320DM,-2.9208187539523753,0.739
COLO320DM,-2.431798275933005,0.955
COLO320DM,-1.958607314841775,0.907
COLO320DM,-1.4685210829577449,0.633
COLO320DM,-1.0,0.474
COLO320DM,-0.5228787452803376,0.076
COLO320DM,-3.853871964321762,0.909
